row,instance,replicas,memory,cpu
1,10.0.1.102:9100,10,15.977677094456318,5.599999999999454
2,10.0.1.103:9100,10,16.88570902167905,8.199999999997104
3,10.0.1.102:9100,10,15.91388604382564,8.299999999999258
4,10.0.1.103:9100,10,16.88986930758975,6.300000000001091
5,10.0.1.102:9100,10,15.816020270497827,6.200000000003456
6,10.0.1.103:9100,10,16.641242697212412,8.299999999999258
7,10.0.1.102:9100,10,15.809086460646668,6.399999999998727
8,10.0.1.103:9100,10,16.708797816048005,7.300000000000168
9,10.0.1.102:9100,16,28.449124656033504,20.49999999999727
10,10.0.1.103:9100,20,31.292878184847446,25.700000000001637
11,10.0.1.102:9100,20,31.445521055999432,20.59999999999947
12,10.0.1.103:9100,20,32.416254435161946,23.30000000000382
13,10.0.1.102:9100,20,31.491680418722872,26.499999999996362
14,10.0.1.103:9100,20,32.40119816234228,20.084016803362843
15,10.0.1.102:9100,30,54.96292392818158,43.700000000003456
16,10.0.1.103:9100,30,41.55669974424147,42.50000000000001
17,10.0.1.102:9100,30,51.05453342393511,43.60000000000127
18,10.0.1.103:9100,30,44.832528681209176,42.10000000000036
19,10.0.1.102:9100,30,52.718548733787266,41.09999999999672
20,10.0.1.103:9100,30,43.224082904592755,44.49999999999819
21,10.0.1.102:9100,40,72.7192223038871,75.59999999999945
22,10.0.1.103:9100,40,58.72570442555366,68.60000000000127
23,10.0.1.102:9100,40,72.61194636004699,62.899999999999636
24,10.0.1.103:9100,40,63.16770112506017,60.99999999999909
25,10.0.1.102:9100,40,71.75571989785507,62.100000000000364
26,10.0.1.103:9100,40,63.180875363777375,60.49999999999727
27,10.0.1.102:9100,40,72.92178860596744,62.69999999999982
28,10.0.1.103:9100,40,66.03819934901432,62.60000000000219
29,10.0.1.102:9100,40,87.93705289308264,81.20000000000346
30,10.0.1.103:9100,40,76.21812180920928,88.40000000000146
31,10.0.1.102:9100,50,90.90541689036458,79.399999999996
32,10.0.1.103:9100,50,80.98531419073524,81.19999999999436
33,10.0.1.102:9100,50,94.16708104435062,76.59999999999854
34,10.0.1.103:9100,50,84.01984654488255,82.50000000000455
35,10.0.1.102:9100,50,91.79601523853297,76.90000000000055
36,10.0.1.103:9100,50,83.35499323458268,80.79999999999927
37,10.0.1.102:9100,50,94.95733725853007,100
38,10.0.1.103:9100,50,86.2625378140273,99.80003999199724
39,10.0.1.102:9100,50,89.34035695253114,100
40,10.0.1.103:9100,50,94.40758519175947,99.90000000000236
41,10.0.1.102:9100,50,91.10213898128465,100
42,10.0.1.103:9100,50,95.91004273207957,99.90000000000236
43,10.0.1.102:9100,50,79.4068819053317,100
44,10.0.1.103:9100,50,91.1270016423224,100
45,10.0.1.102:9100,50,70.47534238162501,100
46,10.0.1.103:9100,50,94.47939965093221,100
47,10.0.1.102:9100,50,88.14467097091168,100
48,10.0.1.103:9100,50,82.35563312617751,100
49,10.0.1.102:9100,50,83.15094111610566,100
50,10.0.1.103:9100,50,94.902362051853,100
51,10.0.1.102:9100,50,90.9743587711704,100
52,10.0.1.103:9100,50,81.51050075974744,100
53,10.0.1.102:9100,50,87.33539630685476,100
54,10.0.1.103:9100,50,87.11093897653004,100
55,10.0.1.102:9100,50,84.98136786238567,100
56,10.0.1.103:9100,50,83.93099472436126,99.90000000000236
57,10.0.1.102:9100,50,90.79497120487822,100
58,10.0.1.103:9100,50,93.34621701239963,100
59,10.0.1.102:9100,50,75.90293062426082,100
60,10.0.1.103:9100,50,92.23948190572791,100
61,10.0.1.102:9100,50,87.72775089000402,100
62,10.0.1.103:9100,50,94.64551392408073,100
63,10.0.1.102:9100,1,12.120794891961337,20.599999999994907
64,10.0.1.103:9100,1,18.052768274055865,62.79999999999745
65,10.0.1.102:9100,1,12.067602664960289,3.4999999999990905
66,10.0.1.103:9100,1,17.236163582442007,9.099999999998545
67,10.0.1.102:9100,1,12.138624688721466,4.1000000000031065
68,10.0.1.103:9100,1,17.274101427770503,8.49999999999909
69,10.0.1.102:9100,1,12.127629647386053,3.099999999994907
70,10.0.1.103:9100,1,17.338288696106964,9.399999999995998
71,10.0.1.102:9100,1,12.128025865091834,2.9999999999972715
72,10.0.1.103:9100,1,16.864214211140453,8.200000000001623
